customer_id,gender,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_tickets,last_login_days,usage_frequency,plan_type,has_premium_support,churn
CUST-0001,Male,41,39,40.4,1562.02,Two year,Electronic check,No,0,0,20,Standard,No,No
CUST-0002,Female,26,3,91.4,271.4,Month-to-month,Electronic check,Fiber optic,4,13,17,Premium,No,Yes
CUST-0003,Female,52,1,61.18,61.78,Month-to-month,Mailed check,Fiber optic,4,5,10,Basic,No,Yes
CUST-0004,Female,68,48,76.7,3683.59,Two year,Electronic check,Fiber optic,1,30,9,Basic,Yes,No
CUST-0005,Male,37,29,69.88,2021.4,One year,Bank transfer,DSL,0,12,19,Standard,Yes,No
CUST-0006,Male,54,4,28.84,137.08,Month-to-month,Bank transfer,No,1,0,10,Standard,No,No
CUST-0007,Male,59,50,19.99,1019.21,Two year,Electronic check,No,2,20,14,Basic,No,No
CUST-0008,Female,34,7,29.01,224.82,Month-to-month,Electronic check,No,4,19,7,Standard,No,Yes
CUST-0009,Female,64,47,97.09,4543.5,Two year,Bank transfer,Fiber optic,3,21,13,Premium,No,No
CUST-0010,Female,48,6,89.97,554.31,Month-to-month,Electronic check,Fiber optic,4,26,7,Standard,No,Yes
CUST-0011,Male,72,1,63.32,95.44,Month-to-month,Electronic check,DSL,2,30,10,Standard,Yes,Yes
CUST-0012,Female,74,41,68.92,2848.11,Two year,Bank transfer,Fiber optic,4,26,11,Basic,No,No
CUST-0013,Female,25,12,105.61,1257.05,Month-to-month,Electronic check,Fiber optic,1,20,11,Premium,Yes,Yes
CUST-0014,Male,32,2,31.84,57.04,Month-to-month,Mailed check,No,3,20,14,Basic,Yes,Yes
CUST-0015,Male,48,4,19.99,48.56,Month-to-month,Electronic check,No,2,2,22,Basic,No,No
CUST-0016,Male,70,50,23.27,1189.22,Two year,Bank transfer,No,2,25,7,Basic,No,No
CUST-0017,Male,47,48,43.99,2091.99,Two year,Electronic check,No,0,14,15,Standard,Yes,No
CUST-0018,Female,63,24,78.96,1885.46,One year,Credit card,DSL,3,17,8,Premium,No,Yes
CUST-0019,Male,37,18,72.45,1315.28,One year,Bank transfer,Fiber optic,2,22,10,Basic,Yes,No
CUST-0020,Male,77,38,59.89,2278.71,Two year,Electronic check,DSL,2,9,18,Standard,No,No
CUST-0021,Female,56,8,74.87,606.25,Month-to-month,Mailed check,DSL,6,14,10,Standard,Yes,Yes
CUST-0022,Male,70,2,85.94,160.35,Month-to-month,Electronic check,Fiber optic,6,27,4,Standard,No,Yes
CUST-0023,Male,72,24,75.49,1786.59,One year,Mailed check,Fiber optic,4,7,12,Standard,No,Yes
CUST-0024,Male,29,1,60.01,64.33,Month-to-month,Credit card,Fiber optic,4,4,17,Basic,No,Yes
CUST-0025,Male,66,1,52.27,52.27,Month-to-month,Mailed check,DSL,2,8,15,Basic,Yes,Yes
CUST-0026,Female,34,13,80.31,1054.44,Month-to-month,Electronic check,DSL,5,0,14,Premium,Yes,Yes
CUST-0027,Male,59,1,42.58,,Month-to-month,Bank transfer,DSL,6,28,6,Basic,No,Yes
CUST-0028,Female,47,31,45.98,1422.39,Two year,Electronic check,DSL,1,18,11,Basic,No,No
CUST-0029,Female,46,1,65.44,99.76,Month-to-month,Bank transfer,DSL,5,7,11,Standard,Yes,Yes
CUST-0030,Male,36,23,91.86,2117.15,One year,Bank transfer,Fiber optic,3,4,8,Premium,No,No
CUST-0031,Female,63,1,36.04,36.04,Month-to-month,Electronic check,No,3,17,9,Standard,No,No
CUST-0032,Male,28,5,72.6,372.98,Month-to-month,Electronic check,Fiber optic,3,25,12,Basic,No,Yes
CUST-0033,Male,51,2,75.18,,Month-to-month,Bank transfer,Fiber optic,3,8,18,Basic,Yes,Yes
CUST-0034,Female,67,16,65.76,1036.39,One year,Bank transfer,DSL,3,28,14,Standard,No,No
CUST-0035,Female,24,24,24.43,586.81,One year,Electronic check,No,2,0,12,Basic,No,No
CUST-0036,Female,61,38,78.95,3024.9,Two year,Electronic check,Fiber optic,2,18,13,Basic,Yes,No
CUST-0037,Male,75,23,19.99,471.85,One year,Mailed check,No,2,29,9,Basic,No,No
CUST-0038,Male,51,13,34.37,443.17,One year,Electronic check,No,1,13,14,Standard,No,No
CUST-0039,Female,76,29,22.61,631.43,One year,Electronic check,No,2,13,20,Basic,No,No
CUST-0040,Male,37,61,39.85,2445.54,Two year,Electronic check,DSL,0,3,21,Basic,No,No
CUST-0041,Male,67,20,81.31,1635.76,One year,Electronic check,Fiber optic,0,6,22,Basic,Yes,No
CUST-0042,Male,55,1,41.07,41.07,Month-to-month,Mailed check,DSL,3,19,14,Basic,No,Yes
CUST-0043,Male,41,1,47.05,47.05,Month-to-month,Credit card,DSL,1,10,17,Basic,Yes,Yes
CUST-0044,Female,27,40,66.76,2701.85,One year,Bank transfer,DSL,2,1,12,Standard,Yes,No
CUST-0045,Male,49,28,33.39,941.32,One year,Electronic check,No,1,17,16,Standard,No,No
CUST-0046,Female,69,1,23.63,23.63,Month-to-month,Mailed check,No,2,9,18,Basic,No,No
CUST-0047,Male,32,36,37.64,1377.78,Two year,Mailed check,DSL,1,0,14,Basic,No,No
CUST-0048,Female,54,37,84.49,3150.46,Two year,Electronic check,Fiber optic,1,22,12,Basic,Yes,No
CUST-0049,Female,37,1,19.99,19.99,Month-to-month,Credit card,No,2,13,12,Basic,No,No
CUST-0050,Male,20,46,73.63,3368.53,Two year,Mailed check,Fiber optic,3,24,17,Basic,Yes,No
CUST-0051,Female,54,8,76.22,611.35,Month-to-month,Credit card,Fiber optic,7,27,6,Basic,Yes,Yes
CUST-0052,Female,79,35,62.89,2204.35,Month-to-month,Mailed check,Fiber optic,1,9,13,Basic,No,Yes
